Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
1.7000000000e+001,1.1441150637e+001,3.7930498115e+000,4.4039135032e+000,3.8650968001e+000,1.0280697323e+001,1.4042596217e+001,2.3306735594e+001,4.9494925365e+000,9.5873519475e+000,6.3361247937e+000,4.9276387261e+000,6.0496338532e+000,4.7585927219e-001,1.3420699347e+001
1.7500000000e+001,1.3641045182e+001,2.5966070506e+000,4.3643809430e+000,3.8319973088e+000,1.1626887530e+001,8.4460883365e+000,2.3612608449e+001,3.2386529277e+000,6.7778491763e+000,6.4781719599e+000,5.1929063258e+000,7.4362343903e+000,5.1405427090e-001,1.4956337504e+001
1.8000000000e+001,1.4162393116e+001,3.5184388162e+000,5.3925638854e+000,2.9319567298e+000,1.1632069421e+001,1.0614326585e+001,1.7443126320e+001,3.4994522042e+000,9.3240060068e+000,4.6966336159e+000,3.5755339598e+000,6.0923401298e+000,6.5178631547e-001,1.2940474073e+001
1.8500000000e+001,2.8107786989e+001,3.1449005334e+000,7.4960113348e+000,4.4720628875e+000,9.8715506847e+000,1.1690508375e+001,2.4064604974e+001,4.8648678112e+000,1.3606093970e+001,6.7450480566e+000,3.9844915116e+000,8.0473394653e+000,6.3614501734e-001,1.1600770994e+001
1.9000000000e+001,1.7063249197e+001,2.1952920158e+000,6.9838957461e+000,4.2170055833e+000,1.8654797008e+001,1.3664950054e+001,2.9564637957e+001,5.3339432168e+000,1.1284188087e+001,4.8497163406e+000,3.3301058257e+000,4.6733577451e+000,7.0261680127e-001,1.0501179517e+001
1.9500000000e+001,2.4588567617e+001,3.1541572928e+000,8.2805752392e+000,2.2641332002e+000,1.5485877527e+001,1.0352539017e+001,1.8060093655e+001,4.3651229245e+000,1.0742835796e+001,4.5717201763e+000,5.1746544784e+000,7.7190970776e+000,6.9730861874e-001,1.4309409463e+001
2.0000000000e+001,1.5923516048e+001,2.9369400487e+000,4.0219433230e+000,2.2408677653e+000,7.1803264082e+000,1.0199483806e+001,2.0991509970e+001,2.8974209581e+000,8.6393304287e+000,4.5619920226e+000,3.5781835243e+000,5.4881160403e+000,4.7639048113e-001,1.6485028000e+001
2.0500000000e+001,1.0080835307e+001,2.6374289920e+000,3.4776378325e+000,1.9615974034e+000,7.3948580332e+000,1.3019585446e+001,1.6014006063e+001,4.0295689280e+000,1.5265102879e+001,7.5399008194e+000,4.5612005228e+000,5.9998325106e+000,8.2082682749e-001,1.1458450015e+001
2.1000000000e+001,1.1971948187e+001,3.0572725232e+000,5.2638658984e+000,2.3895808678e+000,8.7471251131e+000,9.0885280507e+000,1.2457538235e+001,5.2823939092e+000,8.1529337809e+000,8.9766193217e+000,4.3595333921e+000,5.4190516294e+000,6.3164559827e-001,9.7807161038e+000
2.1500000000e+001,1.2137329545e+001,3.4431636973e+000,6.9793017494e+000,2.7768195048e+000,8.4098972614e+000,1.3735904916e+001,1.3042551210e+001,4.4943194086e+000,1.3090591473e+001,9.6339684672e+000,7.8772008975e+000,7.8836190669e+000,8.0244668455e+003,1.9174291556e+001
2.2000000000e+001,1.6209210565e+001,2.8366053971e+000,6.6301055575e+000,3.0742367254e+000,8.5710517160e+000,1.0209349070e+001,1.7773489546e+001,4.6395137261e+000,1.0784852125e+001,1.0241080007e+001,5.2801152561e+000,7.7278991056e+000,5.4444370137e+003,1.8897261478e+001
2.2500000000e+001,1.8019274645e+001,3.4763525763e+000,9.5021904938e+000,3.5605819835e+000,8.5200764703e+000,1.1892935013e+001,1.8137149915e+001,3.8288155254e+000,9.2947322477e+000,8.2973467946e+000,6.3286972764e+000,1.1109677851e+001,1.0118916004e+004,2.0921273611e+001
2.3000000000e+001,2.9355134808e+001,2.7368261490e+000,7.0204180807e+000,3.2350112914e+000,9.6173723068e+000,1.3361153438e+001,2.4717640472e+001,5.0386959238e+000,9.4908062331e+000,1.0389568244e+001,6.7085795586e+000,6.3746310160e+000,3.3689313283e+003,1.9898099215e+001
2.3500000000e+001,2.8498261174e+001,3.1226076152e+000,8.4303549018e+000,4.0471591191e+000,1.0710174589e+001,1.5969510139e+001,2.9316851650e+001,5.8508704108e+000,1.4870766663e+001,8.3547915781e+000,6.1851585875e+000,9.5606211482e+000,7.0926050034e+002,1.9016625744e+001
2.4000000000e+001,2.9796583976e+001,6.6762040652e+000,8.7453563015e+000,3.3800846226e+000,1.1766600091e+001,6.8243299681e+000,2.6518271155e+001,5.6226783061e+000,1.1437303400e+001,1.0519257904e+001,9.7380067459e+000,6.6685861763e+000,2.0991360601e+001,1.8055415778e+001
2.4500000000e+001,1.2807940637e+001,3.8488609182e+000,5.5661712997e+000,3.2682088086e+000,6.9333304013e+000,7.2340873075e+000,1.8413960704e+001,3.6142401068e+000,7.7033096183e+000,7.6935486968e+000,5.5644407889e+000,6.5070133501e+000,5.9221952533e-001,1.2782608353e+001
2.5000000000e+001,1.3255151232e+001,6.6037856999e+000,9.9054198728e+000,1.9463722225e+000,7.9068629115e+000,1.1527868906e+001,1.5284354138e+001,6.0877790643e+000,9.8256740283e+000,1.1478485761e+001,1.1706259985e+001,4.8753582283e+000,5.7946489154e-001,1.0129154832e+001
2.5500000000e+001,1.2634284152e+001,2.8346184078e+000,6.2613176680e+000,3.1269840648e+000,1.0753450284e+001,1.1287562217e+001,1.7418705769e+001,5.4956347286e+000,8.0553308173e+000,6.9978039635e+000,4.3383152374e+000,5.5162325410e+000,3.1924402464e-001,8.5087365575e+000
2.6000000000e+001,1.3695840463e+001,3.1290456184e+000,4.6632334320e+000,2.4064664907e+000,7.1613108467e+000,1.0986889573e+001,1.8168239937e+001,3.4999039695e+000,1.2315984038e+001,5.7402325744e+000,4.4851582069e+000,6.7631601100e+000,5.7905873048e-001,1.3659970441e+001
2.6500000000e+001,9.7368749785e+000,4.1309520834e+000,2.9046462329e+000,1.7673381667e+000,1.1661407461e+001,8.3046864085e+000,1.8457174916e+001,5.2204008864e+000,9.3770999207e+000,6.0543225147e+000,6.7680616535e+000,7.6993715835e+000,5.3071369915e-001,1.1233276374e+001
2.7000000000e+001,8.4253380169e+000,1.8494169383e+000,2.5386541127e+000,2.7673348124e+000,8.4580375213e+000,8.7411767363e+000,2.1593691149e+001,2.6926348673e+000,9.5862551591e+000,3.9754553772e+000,3.4748295971e+000,5.4954917438e+000,4.5050566554e-001,1.0335545214e+001
2.7500000000e+001,6.9629063815e+000,2.5696735538e+000,3.5181382109e+000,2.4318859745e+000,8.3960472823e+000,6.9949711400e+000,2.2456904414e+001,3.4234101327e+000,1.0160264081e+001,4.8848761436e+000,6.3203813551e+000,9.4032376189e+000,5.5055238191e-001,1.0135104643e+001
2.8000000000e+001,8.8137165692e+000,4.8112117092e+000,6.0503943106e+000,3.4042972767e+000,8.6841591746e+000,7.9540638968e+000,1.5507798755e+001,3.6551502184e+000,1.1379859857e+001,6.6587333491e+000,4.3654511279e+000,4.3836103180e+000,3.4228749685e-001,1.0216222545e+001
2.8500000000e+001,1.2077232721e+001,3.1990743983e+000,5.5516178537e+000,3.3410790974e+000,6.1296458906e+000,8.3166904614e+000,1.8309261152e+001,2.9487415774e+000,1.1696527238e+001,5.2048333772e+000,3.4229267605e+000,5.2594591876e+000,4.4503004040e-001,1.5256786840e+001
2.9000000000e+001,1.4005814777e+001,3.7292529755e+000,4.5611185865e+000,2.7790817337e+000,6.5659097964e+000,8.4249825773e+000,2.0051704574e+001,3.8299282065e+000,1.0138552959e+001,5.5597228091e+000,3.7552687032e+000,4.3083152185e+000,5.1889187448e-001,1.3403391424e+001
2.9500000000e+001,1.5135021360e+001,2.4234228084e+000,6.5711736294e+000,3.6956733838e+000,6.0694746968e+000,7.5998546358e+000,1.4241995390e+001,4.6597353804e+000,7.2896202026e+000,4.1944974306e+000,3.4977843927e+000,5.1969519155e+000,4.7187171211e-001,1.1774000732e+001
3.0000000000e+001,1.9908195196e+001,3.2237438859e+000,3.4445788414e+000,1.8527741741e+000,7.0674618826e+000,1.3897054287e+001,1.0646804850e+001,2.6018322297e+000,9.2252191399e+000,5.7791980081e+000,6.3157999250e+000,4.6894325745e+000,1.6734026123e+002,1.2897475391e+001
3.0500000000e+001,1.4819237328e+001,2.3556870964e+000,4.1598729285e+000,2.2340197095e+000,8.8028012972e+000,1.3800217935e+001,1.1403808689e+001,4.7809024187e+000,1.2513921725e+001,5.7965958734e+000,3.9945285963e+000,6.8532225701e+000,2.5210519652e+003,1.5564839831e+001
